"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","ITA.XG_FOB_USD.FRA.A","OBS_VALUE","Italy","Exports of goods, Free on board (FOB), US dollar","France","Annual","Millions","51699.677532","63235.553379","66424.519022","68715.093738","67350.318871"
"IMF.STA:IMTS(1.0.0)","CAN.XG_FOB_USD.GBR.A","OBS_VALUE","Canada","Exports of goods, Free on board (FOB), US dollar","United Kingdom","Annual","Millions","14943.3069","12904.079033","14009.690268","10489.152697","20627.678603"
"IMF.STA:IMTS(1.0.0)","CAN.MG_CIF_USD.GBR.A","OBS_VALUE","Canada","Imports of goods, Cost insurance freight (CIF), US dollar","United Kingdom","Annual","Millions","6085.235671","6613.823958","7031.485996","7360.812505","7339.692387"
"IMF.STA:IMTS(1.0.0)","CAN.MG_CIF_USD.DEU.A","OBS_VALUE","Canada","Imports of goods, Cost insurance freight (CIF), US dollar","Germany","Annual","Millions","13606.582698","15976.240905","18257.243797","19537.467507","18214.906125"
"IMF.STA:IMTS(1.0.0)","CAN.TBG_USD.DEU.A","OBS_VALUE","Canada","Trade balance goods, US dollar","Germany","Annual","Millions","-8865.241961","-10524.134007","-12490.05711","-14336.08701","-13281.818829"
"IMF.STA:IMTS(1.0.0)","CAN.XG_FOB_USD.ITA.A","OBS_VALUE","Canada","Exports of goods, Free on board (FOB), US dollar","Italy","Annual","Millions","2752.889995","2078.29159","2178.730392","1978.04033","2381.597082"
"IMF.STA:IMTS(1.0.0)","CAN.MG_CIF_USD.FRA.A","OBS_VALUE","Canada","Imports of goods, Cost insurance freight (CIF), US dollar","France","Annual","Millions","5104.525898","5989.034238","6296.405651","6777.351561","7504.120809"
"IMF.STA:IMTS(1.0.0)","CAN.MG_CIF_USD.ITA.A","OBS_VALUE","Canada","Imports of goods, Cost insurance freight (CIF), US dollar","Italy","Annual","Millions","7105.464233","8806.296828","9845.342556","10111.664353","9497.230471"
"IMF.STA:IMTS(1.0.0)","CAN.TBG_USD.FRA.A","OBS_VALUE","Canada","Trade balance goods, US dollar","France","Annual","Millions","-2335.734882","-2688.672167","-3274.741883","-3618.811016","-4291.095075"
"IMF.STA:IMTS(1.0.0)","CAN.TBG_USD.ITA.A","OBS_VALUE","Canada","Trade balance goods, US dollar","Italy","Annual","Millions","-4352.574238","-6728.005238","-7666.612164","-8133.624023","-7115.633389"
